epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,1184.1,0.23233,0.31062,0.17507,0.75942,0.99939,1,0.995,0.84165,0.99939,1,0.995,0.82607,0.68094,1.18188,0.30694,0.85039,0.000416,0.000416,0.000416
82,1198.23,0.23489,0.30421,0.17067,0.78119,0.9995,1,0.995,0.84437,0.9995,1,0.995,0.82281,0.68443,1.22721,0.28536,0.85153,0.0003962,0.0003962,0.0003962
83,1212.72,0.23244,0.3059,0.16907,0.7673,0.9997,1,0.995,0.84418,0.9997,1,0.995,0.82708,0.66786,1.20661,0.29843,0.8483,0.0003764,0.0003764,0.0003764
84,1227.74,0.22885,0.30621,0.17101,0.77266,1,0.9996,0.995,0.84644,1,0.9996,0.995,0.81884,0.6651,1.24682,0.28758,0.8494,0.0003566,0.0003566,0.0003566
85,1241.42,0.22162,0.29929,0.16286,0.76574,1,0.99993,0.995,0.84612,1,0.99993,0.995,0.81848,0.66909,1.28462,0.28404,0.85169,0.0003368,0.0003368,0.0003368
86,1255.02,0.20948,0.28976,0.15882,0.76759,0.99951,1,0.995,0.84867,0.99951,1,0.995,0.81929,0.65005,1.24653,0.28736,0.84621,0.000317,0.000317,0.000317
87,1270.18,0.20996,0.29153,0.16208,0.75943,0.99945,1,0.995,0.84512,0.99945,1,0.995,0.81204,0.67406,1.32196,0.29108,0.85186,0.0002972,0.0002972,0.0002972
88,1285.09,0.20148,0.29172,0.15827,0.75858,0.99951,1,0.995,0.85208,0.99951,1,0.995,0.81846,0.66734,1.32226,0.2799,0.84799,0.0002774,0.0002774,0.0002774
89,1301.22,0.19994,0.29229,0.1593,0.756,0.99958,1,0.995,0.84137,0.99958,1,0.995,0.82211,0.65804,1.35158,0.28149,0.84458,0.0002576,0.0002576,0.0002576
90,1316.33,0.19744,0.28744,0.15243,0.77086,0.99938,1,0.995,0.84908,0.99938,1,0.995,0.81639,0.66214,1.35968,0.28567,0.84516,0.0002378,0.0002378,0.0002378
91,1371.99,0.2007,0.29285,0.15251,0.77854,0.99941,1,0.995,0.8463,0.99941,1,0.995,0.82053,0.66444,1.29581,0.28787,0.84496,0.000218,0.000218,0.000218
92,1389.24,0.18485,0.27644,0.15022,0.76581,0.99939,1,0.995,0.84947,0.99939,1,0.995,0.82112,0.66595,1.2893,0.28997,0.84517,0.0001982,0.0001982,0.0001982
93,1408.04,0.18554,0.27736,0.14291,0.7562,0.99937,1,0.995,0.8479,0.99937,1,0.995,0.82359,0.67472,1.30479,0.28359,0.84731,0.0001784,0.0001784,0.0001784
94,1424.14,0.18908,0.28109,0.14443,0.75093,0.99938,1,0.995,0.85456,0.99938,1,0.995,0.81884,0.68071,1.36176,0.27703,0.84776,0.0001586,0.0001586,0.0001586
95,1439.71,0.18043,0.27298,0.14514,0.76355,0.9994,1,0.995,0.85003,0.9994,1,0.995,0.82312,0.67078,1.32419,0.28036,0.8471,0.0001388,0.0001388,0.0001388
96,1459.06,0.18151,0.27128,0.14626,0.77396,0.9994,1,0.995,0.85099,0.9994,1,0.995,0.81332,0.65842,1.37664,0.27492,0.84628,0.000119,0.000119,0.000119
97,1474.65,0.17398,0.26903,0.14322,0.75153,0.99939,1,0.995,0.84895,0.99939,1,0.995,0.81975,0.65797,1.34195,0.27444,0.84586,9.92e-05,9.92e-05,9.92e-05
98,1489.48,0.17322,0.26836,0.14033,0.76769,0.99944,1,0.995,0.84921,0.99944,1,0.995,0.8208,0.6654,1.33202,0.27995,0.84961,7.94e-05,7.94e-05,7.94e-05
99,1504.61,0.17298,0.26683,0.14071,0.75399,0.99942,1,0.995,0.85146,0.99942,1,0.995,0.81704,0.66155,1.39035,0.27703,0.84851,5.96e-05,5.96e-05,5.96e-05
100,1518.54,0.16603,0.261,0.13386,0.747,0.99943,1,0.995,0.84808,0.99943,1,0.995,0.82026,0.66338,1.39469,0.27928,0.84803,3.98e-05,3.98e-05,3.98e-05
